,Crimson Stem,crimson_stem
,Crimson Hyphae,crimson_hyphae
,Stripped Crimson Stem,stripped_crimson_stem
,Stripped Crimson Hyphae,stripped_crimson_hyphae
,Crimson Planks,crimson_planks
,Crimson Slab,crimson_slab
,Crimson Stairs,crimson_stairs
,Crimson Fence,crimson_fence
,Crimson Fence Gate,crimson_fence_gate
,Crimson Door,crimson_door
,Crimson Trapdoor,crimson_trapdoor
,Crimson Shelf,crimson_shelf
,Crimson Sign,crimson_sign
,Crimson Hanging Sign,crimson_hanging_sign
,Crimson Pressure Plate,crimson_pressure_plate
,Crimson Button,crimson_button
,Petrified Oak Slab,petrified_oak_slab
,Gravel,gravel
,Suspicious Gravel,suspicious_gravel
,Flint,flint
,Sand,sand
,Suspicious Sand,suspicious_sand
,Sandstone,sandstone
,Sandstone Slab,sandstone_slab
,Sandstone Stairs,sandstone_stairs
,Sandstone Wall,sandstone_wall
,Smooth Sandstone,smooth_sandstone
,Smooth Sandstone Slab,smooth_sandstone_slab
,Smooth Sandstone Stairs,smooth_sandstone_stairs
,Cut Sandstone,cut_sandstone
,Cut Sandstone Slab,cut_sandstone_slab
,Chiseled Sandstone,chiseled_sandstone
,Red Sand,red_sand
,Red Sandstone,red_sandstone
,Red Sandstone Slab,red_sandstone_slab
,Red Sandstone Stairs,red_sandstone_stairs
,Red Sandstone Wall,red_sandstone_wall
,Smooth Red Sandstone,smooth_red_sandstone
,Smooth Red Sandstone Slab,smooth_red_sandstone_slab
,Smooth Red Sandstone Stairs,smooth_red_sandstone_stairs
,Cut Red Sandstone,cut_red_sandstone
,Cut Red Sandstone Slab,cut_red_sandstone_slab
,Chiseled Red Sandstone,chiseled_red_sandstone
,Emerald Ore,emerald_ore
,Deepslate Emerald Ore,deepslate_emerald_ore
,Coal Ore,coal_ore
,Deepslate Coal Ore,deepslate_coal_ore
,Copper Ore,copper_ore
,Deepslate Copper Ore,deepslate_copper_ore
,Iron Ore,iron_ore
,Deepslate Iron Ore,deepslate_iron_ore
,Lapis Lazuli Ore,lapis_ore
,Deepslate Lapis Lazuli Ore,deepslate_lapis_ore
,Gold Ore,gold_ore
,Deepslate Gold Ore,deepslate_gold_ore
,Redstone Ore,redstone_ore
,Deepslate Redstone Ore,deepslate_redstone_ore
,Diamond Ore,diamond_ore
,Deepslate Diamond Ore,deepslate_diamond_ore
,Nether Quartz Ore,nether_quartz_ore
,Nether Gold Ore,nether_gold_ore
,Ancient Debris,ancient_debris
,Emerald,emerald
,Block of Emerald,emerald_block
,Coal,coal
,Block of Coal,coal_block
,Raw Copper,raw_copper
,Block of Raw Copper,raw_copper_block
,Copper ingot,copper_ingot
,Block of Copper,copper_block
,Exposed Copper,exposed_copper
,Weathered Copper,weathered_copper
,Oxidized Copper,oxidized_copper
,Cut Copper,cut_copper
,Exposed Cut Copper,exposed_cut_copper
,Weathered Cut Copper,weathered_cut_copper
,Oxidized Cut Copper,oxidized_cut_copper
,Cut Copper Slab,cut_copper_slab
,Exposed Cut Copper Slab,exposed_cut_copper_slab
,Weathered Cut Copper Slab,weathered_cut_copper_slab
,Oxidized Cut Copper Slab,oxidized_cut_copper_slab
,Cut Copper Stairs,cut_copper_stairs
,Exposed Cut Copper Stairs,exposed_cut_copper_stairs
,Weathered Cut Copper Stairs,weathered_cut_copper_stairs
,Oxidized Cut Copper Stairs,oxidized_cut_copper_stairs
,Chiseled Copper,chiseled_copper
,Exposed Chiseled Copper,exposed_chiseled_copper
,Weathered Chiseled Copper,weathered_chiseled_copper
,Oxidized Chiseled Copper,oxidized_chiseled_copper
,Copper Grate,copper_grate
,Exposed Copper Grate,exposed_copper_grate
,Weathered Copper Grate,weathered_copper_grate
,Oxidized Copper Grate,oxidized_copper_grate
,Copper Bulb,copper_bulb
,Exposed Copper Bulb,exposed_copper_bulb
,Weathered Copper Bulb,weathered_copper_bulb
,Oxidized Copper Bulb,oxidized_copper_bulb
,Copper Chest,copper_chest
,Exposed Copper Chest,exposed_copper_chest
,Weathered Copper Chest,weathered_copper_chest
