,Acacia Door,acacia_door
,Acacia Trapdoor,acacia_trapdoor
,Acacia Shelf,acacia_shelf
,Acacia Sign,acacia_sign
,Acacia Hanging Sign,acacia_hanging_sign
,Acacia Pressure Plate,acacia_pressure_plate
,Acacia Button,acacia_button
,Acacia Boat,acacia_boat
,Acacia Boat with Chest,acacia_chest_boat
,Mangrove Log,mangrove_log
,Mangrove Wood,mangrove_wood
,Stripped Mangrove Log,stripped_mangrove_log
,Stripped Mangrove Wood,stripped_mangrove_wood
,Mangrove Planks,mangrove_planks
,Mangrove Slab,mangrove_slab
,Mangrove Stairs,mangrove_stairs
,Mangrove Fence,mangrove_fence
,Mangrove Fence Gate,mangrove_fence_gate
,Mangrove Door,mangrove_door
,Mangrove Trapdoor,mangrove_trapdoor
,Mangrove Shelf,mangrove_shelf
,Mangrove Sign,mangrove_sign
,Mangrove Hanging Sign,mangrove_hanging_sign
,Mangrove Pressure Plate,mangrove_pressure_plate
,Mangrove Button,mangrove_button
,Mangrove Boat,mangrove_boat
,Mangrove Boat with Chest,mangrove_chest_boat
,Cherry Log,cherry_log
,Cherry Wood,cherry_wood
,Stripped Cherry Log,stripped_cherry_log
,Stripped Cherry Wood,stripped_cherry_wood
,Cherry Planks,cherry_planks
,Cherry Slab,cherry_slab
,Cherry Stairs,cherry_stairs
,Cherry Fence,cherry_fence
,Cherry Fence Gate,cherry_fence_gate
,Cherry Door,cherry_door
,Cherry Trapdoor,cherry_trapdoor
,Cherry Shelf,cherry_shelf
,Cherry Sign,cherry_sign
,Cherry Hanging Sign,cherry_hanging_sign
,Cherry Pressure Plate,cherry_pressure_plate
,Cherry Button,cherry_button
,Cherry Boat,cherry_boat
,Cherry Boat with Chest,cherry_chest_boat
,Block of Bamboo,bamboo_block
,Block of Stripped Bamboo,stripped_bamboo_block
,Bamboo Planks,bamboo_planks
,Bamboo Slab,bamboo_slab
,Bamboo Stairs,bamboo_stairs
,Bamboo Fence,bamboo_fence
,Bamboo Fence Gate,bamboo_fence_gate
,Bamboo Door,bamboo_door
,Bamboo Trapdoor,bamboo_trapdoor
,Bamboo Shelf,bamboo_shelf
,Bamboo Sign,bamboo_sign
,Bamboo Hanging Sign,bamboo_hanging_sign
,Bamboo Pressure Plate,bamboo_pressure_plate
,Bamboo Button,bamboo_button
,Bamboo Raft,bamboo_raft
,Bamboo Raft with Chest,bamboo_chest_raft
,Bamboo Mosaic,bamboo_mosaic
,Bamboo Mosaic Slab,bamboo_mosaic_slab
,Bamboo Mosaic Stairs,bamboo_mosaic_stairs
,Pale Oak Log,pale_oak_log
,Creaking Heart,creaking_heart
,Pale Oak Wood,pale_oak_wood
,Stripped Pale Oak Log,stripped_pale_oak_log
,Stripped Pale Oak Wood,stripped_pale_oak_wood
,Pale Oak Planks,pale_oak_planks
,Pale Oak Slab,pale_oak_slab
,Pale Oak Stairs,pale_oak_stairs
,Pale Oak Fence,pale_oak_fence
,Pale Oak Fence Gate,pale_oak_fence_gate
,Pale Oak Door,pale_oak_door
,Pale Oak Trapdoor,pale_oak_trapdoor
,Pale Oak Shelf,pale_oak_shelf
,Pale Oak Sign,pale_oak_sign
,Pale Oak Hanging Sign,pale_oak_hanging_sign
,Pale Oak Pressure Plate,pale_oak_pressure_plate
,Pale Oak Button,pale_oak_button
,Pale Oak Boat,pale_oak_boat
,Pale Oak Boat with Chest,pale_oak_chest_boat
,Warped Stem,warped_stem
,Warped Hyphae,warped_hyphae
,Stripped Warped Stem,stripped_warped_stem
,Stripped Warped Hyphae,stripped_warped_hyphae
,Warped Planks,warped_planks
,Warped Slab,warped_slab
,Warped Stairs,warped_stairs
,Warped Fence,warped_fence
,Warped Fence Gate,warped_fence_gate
,Warped Door,warped_door
,Warped Trapdoor,warped_trapdoor
,Warped Shelf,warped_shelf
,Warped Sign,warped_sign
,Warped Hanging Sign,warped_hanging_sign
,Warped Pressure Plate,warped_pressure_plate
,Warped Button,warped_button
,Crimson Stem,crimson_stem
